사용자 유형,기존 응원 팀,질문,매칭팀,추천 리그,sbert_score,n2v_score,vector_score,매칭 스코어,llm_rank,llm_reason
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC안양,K LEAGUE,0.5407889,0.5,0.9323982092801332,0.6028,2,"FC안양은 공격적인 축구를 선호하는 팀으로, 강백호와 유사한 플레이 스타일을 보입니다."
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,대전 하나 시티즌,K LEAGUE,0.46200657,0.5,0.9680314540706978,0.5784,1,"대전 하나 시티즌은 빠른 속도와 공격적인 축구를 중시하는 팀으로, 강백호의 스타일과 잘 맞습니다."
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,제주 SK FC,K LEAGUE,0.44304064,0.5,0.9480141155784624,0.5668,3,"제주 SK FC는 때로는 공격적으로 위협적이지만, 전반적으로 보수적인 플레이를 선호하는 팀입니다. 강백호와의 유사성이 다소 떨어질 수 있습니다."
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,뉴캐슬 유나이티드,EPL,0.46724358,0.5,0.9648402984482792,0.5799,1,"뉴캐슬 유나이티드는 강력한 수비와 전술적 안정감을 중시하는 팀으로, 이는 강백호의 플레이 스타일에 맞는 특징입니다."
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,크리스탈 팰리스,EPL,0.4372338,0.5,0.9721760249455392,0.5693,2,"크리스тал 팰리스도 강력한 수비와 전술적 유연성을 중시하며, 이는 강백호의 플레이 스타일에 비슷한 특징을 가지고 있습니다."
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,리버풀,EPL,0.4259234,0.5,0.9470712300839362,0.5598,3,"리버풀은 매우 공격적인 팀으로, 강백호와 같은 전술적 안정감과 수비 중심의 플레이 스타일이 다소 어울리지 않을 수 있습니다."
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.42721778,0.5,0.924607589386269,0.5558,2,레이싱 불스의 강렬한 색상과 독특한 디자인은 강백호와 비슷한 에너지를 발산합니다.
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.4047807,0.5,0.867585580547885,0.5354,1,페라리는 전통적인 스타일과 고급스러운 느낌으로 강백호의 매력을 잘 반영합니다.
1,KT 위즈,나는 KT 위즈의 '강백호' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.36846358,0.5,0.9354280984956792,0.5345,3,맥라렌은 과학적이고 미니멀리스트한 디자인으로 강백호와 비슷한 감각을 지닙니다.
1,LG 트윈즈,나는 LG 트윈즈의 '꾸준한 성적' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.2766683,0.9795844554901124,0.9197905115027538,0.6865,2,애스턴 마틴은 최근 몇 년간 꾸준한 성적을 거두며 주목받고 있습니다.
1,LG 트윈즈,나는 LG 트윈즈의 '꾸준한 성적' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.37305072,0.622083306312561,0.867585580547885,0.5716,1,"페라리는 F1 역사상 가장 성공적인 팀 중 하나로, 꾸준한 성적을 이어오고 있습니다."
1,LG 트윈즈,나는 LG 트윈즈의 '꾸준한 성적' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.38370258,0.5,0.924607589386269,0.5384,3,"레이싱 불스는 최근 몇 년간 성적이 꾸준하지 않지만, 과거에는 좋은 성적을 거두었던 팀입니다."
1,NC 다이노스,나는 NC 다이노스의 '외국인선수명가' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,울버햄튼 원더러스,EPL,0.3807565,0.978699803352356,0.9769664364860592,0.7392,1,울버햄튼 원더러스는 독특한 팀 정체성과 팬 문화를 가지고 있어 NC 다이노스의 스타일에 유사합니다.
1,NC 다이노스,나는 NC 다이노스의 '외국인선수명가' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,아스톤 빌라,EPL,0.34686404,0.961845874786377,0.984708580541229,0.7204,2,"아스톤 빌라는 역사와 전통을 강조하는 팀으로, 특정한 팀 정체성을 가진 팬덤이 있습니다."
