사용자 유형,기존 응원 팀,질문,매칭팀,추천 리그,sbert_score,n2v_score,vector_score,매칭 스코어,llm_confidence,llm_rank,llm_reason
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.3577677,0.9947986006736756,0.9197905115027536,0.725,0.85,1,애스턴 마틴은 뉴캐슬 유나이티드와 같이 과거의 명성을 되살리기 위해 노력하는 팀입니다.
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.3535738,0.5,0.9354280984956792,0.5285,0.75,2,맥라렌은 기술적 우위를 바탕으로 여러 차례 챔피언십을 휩니다.
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,LG 트윈즈,KBO,0.33254406,0.9761744141578674,0.9260043181881564,0.7087,0.85,1,"강력한 타선과 투수진으로 인해 꾸준히 상위권에 위치하고 있으며, 팀의 전반적인 균형 잡힌 성능이 뉴캐슬 유나이티드와 비슷합니다."
1,뉴캐슬 유나이티드,나는 뉴캐슬 유나이티드의 '70년 무관 탈출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,키움 히어로즈,KBO,0.33556187,0.790267825126648,0.9368513188800902,0.6377,0.75,2,"강력한 타선과 투수진을 갖추고 있으며, 특히 중간 계투들이 팀의 승리를 이끄는 중요한 역할을 합니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,리버풀,EPL,0.40866017,0.5,0.9470712300839362,0.5529,0.85,1,리버풀은 강력한 팬 문화와 소통을 중시하는 팀으로 잘 알려져 있습니다.
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,크리스탈 팰리스,EPL,0.41950536,0.5,0.9721760249455392,0.5622,0.75,2,크리스탈 팰리스는 팬들과의 소통을 중시하는 팀으로 유명합니다.
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,아스톤 빌라,EPL,0.3135219,0.5,0.9847085805412288,0.5224,0.7,3,아스톤 빌라는 팬들과의 관계를 중시하는 팀으로 유명합니다.
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,뉴캐슬 유나이티드,EPL,0.41888133,0.5,0.9648402984482792,0.5605,0.65,4,뉴캐슬 유나이티드는 팬들과의 관계를 중요하게 여기는 팀입니다.
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,토트넘 홋스퍼,EPL,0.37947735,0.5,0.9597523705379496,0.5437,0.6,5,토트넘 홋스퍼는 팬들과의 소통을 중요하게 여기는 편입니다.
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,아스날,EPL,0.2883895,0.5,0.9811790089246664,0.5116,0.55,6,"아스날은 팬들과의 관계를 중시하는 팀으로, 특히 북부 영국 팬들에게 인기가 많습니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,브라이튼 앤 호브 알비온,EPL,0.24834748,0.5,0.957553776686939,0.4908,0.5,7,"브라이튼은 최근에 강력한 팬 문화를 형성하고 있으며, 팬들과의 소통을 중시하는 팀입니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,첼시,EPL,0.3536587,0.5,0.8872170872506784,0.5189,0.45,8,"첼시는 팬들과의 소통을 중요하게 여기는 편이지만, 리버풀과 비교했을 때 덜 강조되는 편입니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,울버햄튼 원더러스,EPL,0.27849495,0.5,0.9769664364860592,0.5068,0.4,9,"울버햄튼은 팬들과의 소통을 중요하게 여기는 편이지만, 리버풀과 크리스탈 팰리스와 같은 강력한 팬 문화를 형성하지 못했습니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,웨스트햄 유나이티드,EPL,0.15768063,0.5,0.9746360754360393,0.458,0.35,10,"웨스트햄은 새로운 팀으로서 아직 완전히 정착되지 않았지만, 팬들과의 소통을 중요하게 여기는 편입니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맨체스터 시티,EPL,0.33841327,0.5,0.8806543859487871,0.5115,0.3,11,"맨체스터 시티는 최근에 강력한 팬 문화를 형성하고 있지만, 여전히 리버풀과 크리스탈 팰리스와 같은 팀들과 비교했을 때 덜 강조되는 편입니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맨체스터 유나이티드,EPL,0.2721045,0.5,0.9387467508866107,0.4966,0.25,12,"맨체스터 유나이티드는 전통적으로 큰 팬 기반을 가지고 있지만, 팬들과의 소통을 중시하는 팀으로는 덜 알려져 있습니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,메르세데스,F1,0.263715,0.5,0.8813761980547393,0.4818,0.95,1,"메르세데스는 전 세계적으로 유명한 브랜드로, 팬과의 소통을 중요시하는 다양한 마케팅 활동을 합니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.35191637,0.5,0.867585580547885,0.5143,0.9,2,"페라리는 전 세계적으로 유명한 브랜드로, 팬과의 소통을 강조하는 다양한 마케팅 활동을 합니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.2722065,0.5,0.9197905115027536,0.4928,0.85,3,애스턴 마틴은 자동차 브랜드로서 팬과의 소통을 중요시하는 다양한 마케팅 활동을 합니다.
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레드불,F1,0.35513335,0.5,0.869819254343648,0.516,0.8,4,"레드불은 밝고 긍정적인 이미지를 가지고 있으며, 팬들과의 소통을 중요시합니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.38614702,0.5,0.924607589386269,0.5394,0.75,5,레이싱 불스의 밝고 긍정적인 이미지는 팬들과의 소통을 강조하는 스타일과 잘 어울립니다.
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,윌리엄스,F1,0.265319,0.5,0.940160426099116,0.4942,0.7,6,"윌리엄스는 밝고 긍정적인 이미지를 가지고 있으며, 팬들과의 소통을 강조합니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,알핀,F1,0.2700157,0.5,0.9093003387305426,0.4899,0.65,7,"알핀은 상대적으로 새로운 팀이지만, 팬들과의 소통을 강조하는 노력이 필요합니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.3514831,0.5,0.9354280984956792,0.5277,0.6,8,"맥라렌은 전 세계적으로 유명한 브랜드로, 팬과의 소통을 중요시하는 이미지를 가지고 있습니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,자우버,F1,0.31108582,0.5,0.8822722818574583,0.5009,0.5,9,"자우버는 상대적으로 덜 알려진 팀이지만, 팬들과의 소통을 중요시하는 노력이 필요합니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,하스,F1,0.33177122,0.5,0.923812992867432,0.5175,0.4,10,"하스는 상대적으로 덜 알려진 팀이지만, 팬들과의 소통을 강조하는 노력이 필요합니다."
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,KT 위즈,KBO,0.45805132,0.5,0.9837736012587376,0.58,0.75,1,KT 위즈는 팬들과의 소통을 강조하는 팀으로 유명합니다.
1,제주 SK FC,나는 제주 SK FC의 '팬_소통_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,기아 타이거즈,KBO,0.41021493,0.5,0.904112603536039,0.5449,0.3,2,기아 타이거즈는 팬과의 소통에 대한 노력이 부족한 편입니다.
