사용자 유형,기존 응원 팀,질문,매칭팀,추천 리그,sbert_score,n2v_score,vector_score,매칭 스코어,llm_confidence,llm_rank,llm_reason
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,크리스탈 팰리스,EPL,0.4381263852119446,0.5,0.9721760249455392,0.5697,0.0,1,분석 실패 또는 신뢰도 낮음
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,리버풀,EPL,0.4446791410446167,0.5,0.9470712300839362,0.5673,0.0,2,분석 실패 또는 신뢰도 낮음
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,뉴캐슬 유나이티드,EPL,0.4225478172302246,0.5,0.9648402984482792,0.562,0.0,3,분석 실패 또는 신뢰도 낮음
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,KT 위즈,KBO,0.3620992004871368,0.5,0.9837736012587378,0.5416,0.75,1,"KT 위즈는 최근 몇 년간 꾸준히 중위권을 유지하며, 알핀의 '애매한_중위권' 스타일과 유사한 경영 방침을 보여주고 있습니다."
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,삼성 라이온즈,KBO,0.3726161122322082,0.5,0.8872751692682712,0.5265,0.6,2,"삼성 라이온즈는 강력한 투수진을 보유하고 있지만, 때로는 중위권 팀들과의 경쟁에서 약한 모습을 보였습니다. 이는 알핀의 '애매한_중위권' 스타일과 유사한 측면이 있습니다."
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,키움 히어로즈,KBO,0.3476603925228119,0.5,0.9368513188800902,0.5264,0.4,3,"키움 히어로즈는 최근 몇 년간 상위권 팀으로 성장했지만, 과거에는 중위권 팀으로서의 경험이 있습니다. 이는 알핀의 '애매한_중위권' 스타일과 유사한 변화를 겪은 팀으로 볼 수 있습니다."
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,제주 SK FC,K LEAGUE,0.4696708917617798,0.5,0.9480141155784624,0.5859,0.75,1,제주 SK FC는 중위권 팀으로서 알핀의 '애매한_중위권' 스타일과 유사한 경영 방침과 전술적 특성을 가지고 있습니다.
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC안양,K LEAGUE,0.4224722385406494,0.5,0.9323982092801332,0.5635,0.6,2,"FC안양은 중위권 팀으로서 알핀의 스타일과 유사한 전술적 특성을 가지고 있지만, 경영 방침 측면에서 약간의 차이가 있습니다."
1,알핀,나는 알핀의 '애매한_중위권' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,대전 하나 시티즌,K LEAGUE,0.3939709067344665,0.5,0.9680314540706978,0.5565,0.4,3,대전 하나 시티즌은 중상위권 팀으로서 알핀의 스타일과는 다소 차이가 있습니다. 그러나 전술적 측면에서 일부 유사한 요소가 있습니다.
1,알핀,나는 알핀의 '알론소_이탈_논란' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,리버풀,EPL,0.4644245505332947,0.5,0.9470712300839362,0.5752,0.75,1,"리버풀은 강력한 팀으로, 알론소와 같은 스타 플레이어를 보유하고 있으며, 공격적인 축구 스타일을 선호합니다."
1,알핀,나는 알핀의 '알론소_이탈_논란' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,크리스탈 팰리스,EPL,0.421643853187561,0.5,0.9721760249455392,0.5631,0.6,2,"크리스탈 팰리스는 공격적인 축구를 선호하는 팀으로, 알론소의 스타일과 유사한 플레이를 보여줄 수 있습니다."
